name	latitude	longitude
Aghalahard	53.71318	-8.08969
Aghalasty And Ankersland	53.67511	-7.21479
Aghalateeve	53.61998	-8.43927
Aghalateeve	54.38417	-8.28658
Aghalattafraal	53.88048	-7.21816
Aghalattive	55.15041	-7.89853
Aghalatty	55.16430	-7.76384
Aghalaverty	54.24754	-6.90869
Aghaleague	54.04780	-7.78781
Aghaleague	54.26029	-9.33674
Aghalee Beg	52.09497	-9.55681
Aghalee More	52.09380	-9.54818
Aghalenane	54.10130	-8.41335
Aghalenty	54.98928	-7.68383
Aghalile	53.99047	-6.74807
Aghalinane	51.74833	-8.97824
Aghalion	53.84652	-7.16179
Aghalisk	54.24103	-7.03428
Aghaliskeevan	54.36266	-6.98010
Aghalissabeagh	54.26310	-7.12514
Aghaloaghan	53.86998	-6.82760
Aghaloonteen	54.01858	-9.34687
Aghaloory	53.86110	-7.38629
Aghalough	54.56461	-7.84674
Aghalough	53.97973	-7.75152
Aghalough	54.15588	-7.04156
Aghaloughan	53.87375	-7.17047
Aghaloughan	53.62956	-7.99211
Aghaloughan	54.30032	-6.90571
Aghalour	53.80930	-8.54700
Aghalusky	53.87291	-9.11252
Aghalusky	53.29193	-7.59461
Aghalust	53.68164	-7.77388
Aghalustia	53.87561	-8.56690
Aghamackalinn	54.38834	-7.05980
Aghamaddock	53.00123	-7.14957
Aghamafir	52.91914	-7.12728
Aghamannan	53.79560	-8.01679
Aghamarta	51.79584	-8.33598
Aghameelick	53.23982	-7.11304
Aghameelta	54.24592	-8.25336
Aghameelta Barr	54.27542	-8.26198
Aghameen	54.03815	-6.27293
Aghameeny	53.95428	-8.07018
Aghamilla	51.62810	-8.93550
Aghamore	53.02162	-7.52532
Aghamore	54.11618	-8.08541
Aghamore	53.89900	-7.95399
Aghamore	53.67535	-7.98502
Aghamore	53.77669	-9.56435
Aghamore	53.83149	-8.82409
Aghamore	53.82769	-8.82447
Aghamore	53.86401	-6.83213
Aghamore	53.35272	-7.61125
Aghamore	53.74594	-8.04040
Aghamore	53.87155	-8.13829
Aghamore	53.37123	-7.50282
Aghamore Far	54.23128	-8.43986
Aghamore Lower	53.88272	-7.65746
Aghamore Near	54.23872	-8.45835
Aghamore North	52.39990	-9.71756
Aghamore South	52.39240	-9.72007
Aghamore Upper	53.82879	-7.64578
Aghamuck	53.70652	-8.10439
Aghamucky	52.80656	-7.17178
Aghanacrinna	52.36755	-9.67937
Aghanageeragh	53.69693	-7.66780
Aghanagh	54.03858	-8.33264
Aghanagran Lower	52.53627	-9.50494
Aghanagran Middle	52.54459	-9.50908
Aghanagran Upper	52.55075	-9.51539
Aghanahil	53.42464	-8.52858
Aghanahown	53.69579	-7.72394
Aghanameena	54.29932	-7.08723
Aghananimy	54.23822	-6.95669
Aghanapisha	53.51269	-7.79441
Aghanargit	53.39999	-7.73231
Aghanascortan	53.45590	-6.99774
Aghanashanamore	53.43153	-7.78665
Aghanboy	51.89210	-10.30338
Aghancarnan	53.32013	-7.50981
Aghancarra	53.95653	-8.06431
Aghancon	53.03592	-7.77991
Aghaneenagh	52.17992	-9.01256
Aghangaddy Glebe	55.01547	-7.66525
Aghanlish	54.41240	-8.28056
Aghanoran	53.84762	-7.53906
Aghanrush	53.21987	-7.43585
Aghantrah	53.68557	-7.85284
Aghanure	52.88103	-6.93141
Aghanure	53.01727	-6.93738
Aghanure	52.93808	-7.04033
Aghanursan	55.08906	-7.68484
Aghanvally	53.60642	-7.72131
Aghanvilla	53.21193	-7.32007
Aghanvoneen	53.40462	-7.83345
Aghany	53.18946	-8.29488
Aghany	53.76016	-9.89315
Agharah	53.97677	-6.96199
Agharahan	53.97138	-7.31974
Agharanagh	53.62140	-8.01486
Agharann	53.98658	-7.71463
Agharanny	53.39104	-7.80465
Agharaskilly	54.10167	-7.59140
Aghards	53.34497	-6.55007
Aghareagh	53.72295	-7.49841
Aghareagh	54.14106	-7.13678
Aghareagh Bog	53.71732	-7.85214
